DATE,AWAY_TEAM,HOME_TEAM
12/23/23,DEN,CHO
12/23/23,ORL,IND
12/23/23,HOU,NOP
12/23/23,MEM,ATL
12/23/23,DET,BRK
12/23/23,UTA,TOR
12/23/23,CLE,CHI
12/23/23,LAL,OKC
12/23/23,SAS,DAL
12/23/23,POR,GSW
12/23/23,MIN,SAC
12/25/23,MIL,NYK
12/25/23,GSW,DEN
12/25/23,BOS,LAL
12/25/23,PHI,MIA
12/25/23,DAL,PHO
12/26/23,BRK,DET
12/26/23,ORL,WAS
12/26/23,ATL,CHI
12/26/23,IND,HOU
12/26/23,MEM,NOP
12/26/23,MIN,OKC
12/26/23,UTA,SAS
12/26/23,SAC,POR
12/26/23,CHO,LAC
12/27/23,PHI,ORL
12/27/23,TOR,WAS
12/27/23,MIL,BRK
12/27/23,PHO,HOU
12/27/23,NYK,OKC
12/27/23,CLE,DAL
12/28/23,DET,BOS
12/28/23,IND,CHI
12/28/23,DAL,MIN
12/28/23,UTA,NOP
12/28/23,MEM,DEN
12/28/23,MIA,GSW
12/28/23,SAS,POR
12/28/23,CHO,LAL
12/29/23,NYK,ORL
12/29/23,BRK,WAS
12/29/23,SAC,ATL
12/29/23,TOR,BOS
12/29/23,MIL,CLE
12/29/23,PHI,HOU
12/29/23,OKC,DEN
12/29/23,CHO,PHO
12/29/23,SAS,POR
12/29/23,MEM,LAC
12/30/23,MIA,UTA
12/30/23,TOR,DET
12/30/23,NYK,IND
12/30/23,PHI,CHI
12/30/23,LAL,MIN
12/30/23,DAL,GSW
12/31/23,ATL,WAS
12/31/23,LAL,NOP
12/31/23,BRK,OKC
12/31/23,BOS,SAS
12/31/23,SAC,MEM
12/31/23,ORL,PHO
1/1/24,MIN,NYK
1/1/24,CLE,TOR
1/1/24,DET,HOU
1/1/24,IND,MIL
1/1/24,CHO,DEN
1/1/24,POR,PHO
1/1/24,DAL,UTA
1/1/24,MIA,LAC
1/2/24,CHI,PHI
1/2/24,SAS,MEM
1/2/24,BRK,NOP
1/2/24,BOS,OKC
1/2/24,ORL,GSW
1/2/24,CHO,SAC
1/3/24,WAS,CLE
1/3/24,MIL,IND
1/3/24,OKC,ATL
1/3/24,BRK,HOU
1/3/24,TOR,MEM
1/3/24,NOP,MIN
1/3/24,POR,DAL
1/3/24,CHI,NYK
1/3/24,LAC,PHO
1/3/24,DET,UTA
1/3/24,MIA,LAL
1/3/24,ORL,SAC
1/4/24,MIL,SAS
1/4/24,DEN,GSW
1/5/24,UTA,BOS
1/5/24,ATL,IND
1/5/24,OKC,BRK
1/5/24,WAS,CLE
1/5/24,NYK,PHI
1/5/24,CHO,CHI
1/5/24,MIN,HOU
1/5/24,LAC,NOP
1/5/24,POR,DAL
1/5/24,ORL,DEN
1/5/24,MIA,PHO
1/5/24,DET,GSW
1/5/24,MEM,LAL
1/5/24,TOR,SAC
1/6/24,BOS,IND
1/6/24,NYK,WAS
1/6/24,UTA,PHI
1/6/24,MIL,HOU
1/7/24,SAS,CLE
1/7/24,POR,BRK
1/7/24,ATL,ORL
1/7/24,NOP,SAC
1/7/24,MIN,DAL
1/7/24,DET,DEN
1/7/24,MEM,PHO
1/7/24,TOR,GSW
1/7/24,LAC,LAL
1/8/24,CHI,CHO
1/8/24,BOS,IND
1/8/24,OKC,WAS
1/8/24,HOU,MIA
1/8/24,UTA,MIL
1/8/24,PHO,LAC
1/9/24,SAC,DET
1/9/24,MIN,ORL
1/9/24,POR,NYK
1/9/24,MEM,DAL
1/9/24,TOR,LAL
1/10/24,MIN,BOS
1/10/24,SAC,CHO
1/10/24,SAS,DET
1/10/24,WAS,IND
1/10/24,PHI,ATL
1/10/24,OKC,MIA
1/10/24,HOU,CHI
1/10/24,NOP,GSW
1/10/24,DEN,UTA
1/10/24,TOR,LAC
1/11/24,BRK,CLE
1/11/24,BOS,MIL
1/11/24,POR,OKC
1/11/24,NYK,DAL
1/11/24,PHO,LAL
1/12/24,SAC,PHI
1/12/24,IND,ATL
1/12/24,HOU,DET
1/12/24,GSW,CHI
1/12/24,LAC,MEM
1/12/24,ORL,MIA
1/12/24,POR,MIN
1/12/24,NOP,DEN
1/12/24,TOR,UTA
1/12/24,CHO,SAS
1/13/24,HOU,BOS
1/13/24,WAS,ATL
1/13/24,NYK,MEM
1/13/24,GSW,MIL
1/13/24,ORL,OKC
1/13/24,NOP,DAL
1/13/24,CHI,SAS
1/13/24,LAL,UTA
1/14/24,IND,DEN
1/14/24,CHO,MIA
1/14/24,SAC,MIL
1/14/24,LAC,MIN
1/14/24,PHO,POR
1/15/24,HOU,PHI
1/15/24,NOP,DAL
1/15/24,ORL,NYK
1/15/24,DET,WAS
1/15/24,SAS,ATL
1/15/24,GSW,MEM
1/15/24,CHI,CLE
1/15/24,MIA,BRK
1/15/24,BOS,TOR
1/15/24,IND,UTA
1/15/24,OKC,LAL
1/16/24,DEN,PHI
1/16/24,SAC,PHO
1/16/24,OKC,LAC
1/17/24,MIN,DET
1/17/24,ORL,ATL
1/17/24,SAS,BOS
1/17/24,MIL,CLE
1/17/24,HOU,NYK
1/17/24,MIA,TOR
1/17/24,CHO,NOP
1/17/24,DAL,LAL
1/17/24,GSW,UTA
1/17/24,BRK,POR
1/18/24,WAS,NYK
1/18/24,CHI,TOR
1/18/24,OKC,UTA
1/18/24,MEM,MIN
1/18/24,IND,SAC
1/19/24,SAS,CHO
1/19/24,PHI,ORL
1/19/24,DEN,BOS
1/19/24,ATL,MIA
1/19/24,PHO,NOP
1/19/24,DAL,GSW
1/19/24,IND,POR
1/19/24,BRK,LAL
1/20/24,MIL,DET
1/20/24,PHI,CHO
1/20/24,SAS,WAS
1/20/24,CLE,ATL
1/20/24,TOR,NYK
1/20/24,MEM,CHI
1/20/24,UTA,HOU
1/20/24,OKC,MIN
1/21/24,BRK,LAC
1/21/24,MIA,ORL
1/21/24,DEN,WAS
1/21/24,BOS,HOU
1/21/24,IND,PHO
1/21/24,POR,LAL
1/22/24,MIL,DET
1/22/24,CLE,ORL
1/22/24,SAS,PHI
1/22/24,MEM,TOR
1/22/24,CHO,MIN
1/22/24,BOS,DAL
1/22/24,CHI,PHO
1/22/24,ATL,SAC
1/23/24,DEN,IND
1/23/24,NYK,BRK
1/23/24,UTA,NOP
1/23/24,POR,OKC
1/23/24,LAL,LAC
1/24/24,CHO,DET
1/24/24,MIN,WAS
1/24/24,MEM,MIA
1/24/24,POR,HOU
1/24/24,CLE,MIL
1/24/24,OKC,SAS
1/24/24,PHO,DAL
1/24/24,ATL,GSW
1/25/24,PHI,IND
1/25/24,UTA,WAS
1/25/24,MIN,BRK
1/25/24,BOS,MIA
1/25/24,DEN,NYK
1/25/24,SAC,GSW
1/25/24,CHI,LAL
1/26/24,DAL,ATL
1/26/24,HOU,CHO
1/26/24,PHO,IND
1/26/24,LAC,TOR
1/26/24,ORL,MEM
1/26/24,CLE,MIL
1/26/24,OKC,NOP
1/26/24,POR,SAS
1/27/24,WAS,DET
1/27/24,MIA,NYK
1/27/24,PHI,DEN
1/27/24,HOU,BRK
1/27/24,LAC,BOS
1/27/24,UTA,CHO
1/27/24,NOP,MIL
1/27/24,LAL,GSW
1/27/24,MIN,SAS
1/27/24,SAC,DAL
1/28/24,MEM,IND
1/28/24,TOR,ATL
1/28/24,OKC,DET
1/28/24,PHO,ORL
1/28/24,CHI,POR
1/29/24,NYK,CHO
1/29/24,LAC,CLE
1/29/24,NOP,BOS
1/29/24,UTA,BRK
1/29/24,PHO,MIA
1/29/24,LAL,HOU
1/29/24,SAC,MEM
1/29/24,MIN,OKC
1/29/24,WAS,SAS
1/29/24,ORL,DAL
1/29/24,MIL,DEN
1/29/24,PHI,POR
1/30/24,LAL,ATL
1/30/24,IND,BOS
1/30/24,UTA,NYK
1/30/24,TOR,CHI
1/30/24,PHI,GSW
1/31/24,CHI,CHO
1/31/24,DET,CLE
1/31/24,LAC,WAS
1/31/24,SAC,MIA
1/31/24,NOP,HOU
1/31/24,DAL,MIN
1/31/24,DEN,OKC
1/31/24,ORL,SAS
1/31/24,PHO,BRK
1/31/24,MIL,POR
2/1/24,LAL,BOS
2/1/24,IND,NYK
2/1/24,PHI,UTA
2/1/24,CLE,MEM
2/2/24,LAC,DET
2/2/24,MIA,WAS
2/2/24,PHO,ATL
2/2/24,SAC,IND
2/2/24,TOR,HOU
2/2/24,GSW,MEM
2/2/24,ORL,MIN
2/2/24,CHO,OKC
2/2/24,NOP,SAS
2/2/24,POR,DEN
2/3/24,BRK,PHI
2/3/24,GSW,ATL
2/3/24,SAC,CHI
2/3/24,MIL,DAL
2/3/24,LAL,NYK
2/3/24,CLE,SAS
2/4/24,ORL,DET
2/4/24,PHO,WAS
2/4/24,MEM,BOS
2/4/24,IND,CHO
2/4/24,LAC,MIA
2/4/24,HOU,MIN
2/4/24,TOR,OKC
2/4/24,MIL,UTA
2/4/24,POR,DEN
2/5/24,LAL,CHO
2/5/24,SAC,CLE
2/5/24,DAL,PHI
2/5/24,LAC,ATL
2/5/24,GSW,BRK
2/5/24,TOR,NOP
2/6/24,HOU,IND
2/6/24,DAL,BRK
2/6/24,ORL,MIA
2/6/24,MEM,NYK
2/6/24,MIN,CHI
2/6/24,OKC,UTA
2/6/24,MIL,PHO
2/7/24,TOR,CHO
2/7/24,GSW,PHI
2/7/24,CLE,WAS
2/7/24,ATL,BOS
2/7/24,SAS,MIA
2/7/24,NOP,LAC
2/7/24,DET,SAC
2/8/24,GSW,IND
2/8/24,SAS,ORL
2/8/24,CLE,BRK
2/8/24,DAL,NYK
2/8/24,CHI,MEM
2/8/24,MIN,MIL
2/8/24,UTA,PHO
2/8/24,DEN,LAL
2/8/24,DET,POR
2/9/24,ATL,PHI
2/9/24,WAS,BOS
2/9/24,HOU,TOR
2/9/24,CHO,MIL
2/9/24,DEN,SAC
2/9/24,NOP,LAL
2/10/24,OKC,DAL
2/10/24,DET,LAC
2/10/24,SAS,BRK
2/10/24,MEM,CHO
2/10/24,CHI,ORL
2/10/24,PHI,WAS
2/10/24,HOU,ATL
2/10/24,IND,NYK
2/10/24,CLE,TOR
2/10/24,PHO,GSW
2/10/24,NOP,POR
2/11/24,BOS,MIA
2/11/24,SAC,OKC
2/12/24,IND,CHO
2/12/24,PHI,CLE
2/12/24,CHI,ATL
2/12/24,SAS,TOR
2/12/24,NYK,HOU
2/12/24,NOP,MEM
2/12/24,DEN,MIL
2/12/24,WAS,DAL
2/12/24,GSW,UTA
2/12/24,MIN,LAC
2/13/24,BOS,BRK
