,QUARTER,TIME_REMAINING,AWAY_SCORE,HOME_SCORE,POINT_DIFF,TIME_ELAPSED,indicator
25,3,2023-04-01 08:21:00,44,49,-5,0 days 00:00:00,0
26,3,2023-04-01 08:21:00,44,49,-5,0 days 00:19:00,19
27,3,2023-04-01 08:02:00,44,49,-5,0 days 00:00:00,0
28,3,2023-04-01 08:02:00,44,49,-5,0 days 00:12:00,12
29,3,2023-04-01 07:50:00,46,49,-3,0 days 00:20:00,20
30,3,2023-04-01 07:30:00,46,49,-3,0 days 00:22:00,22
31,3,2023-04-01 07:08:00,46,49,-3,0 days 00:01:00,1
32,3,2023-04-01 07:07:00,46,49,-3,0 days 00:10:00,10
33,3,2023-04-01 06:57:00,46,51,-5,0 days 00:22:00,22
34,3,2023-04-01 06:35:00,46,51,-5,0 days 00:02:00,2
35,3,2023-04-01 06:33:00,46,51,-5,0 days 00:09:00,9
36,3,2023-04-01 06:24:00,46,51,-5,0 days 00:04:00,4
37,3,2023-04-01 06:20:00,46,54,-8,0 days 00:25:00,25
38,3,2023-04-01 05:55:00,46,54,-8,0 days 00:08:00,8
39,3,2023-04-01 05:47:00,49,54,-5,0 days 00:21:00,21
40,3,2023-04-01 05:26:00,49,56,-7,0 days 00:26:00,26
41,3,2023-04-01 05:00:00,51,56,-5,0 days 00:24:00,24
42,3,2023-04-01 04:36:00,51,56,-5,0 days 00:01:00,1
43,3,2023-04-01 04:35:00,51,56,-5,0 days 00:06:00,6
44,3,2023-04-01 04:29:00,51,56,-5,0 days 00:01:00,1
45,3,2023-04-01 04:28:00,51,56,-5,0 days 00:12:00,12
46,3,2023-04-01 04:16:00,51,58,-7,0 days 00:15:00,15
47,3,2023-04-01 04:01:00,53,58,-5,0 days 00:18:00,18
48,3,2023-04-01 03:43:00,53,60,-7,0 days 00:23:00,23
49,3,2023-04-01 03:20:00,53,60,-7,0 days 00:00:00,0
50,3,2023-04-01 03:20:00,54,60,-6,0 days 00:00:00,0
51,3,2023-04-01 03:20:00,54,60,-6,0 days 00:00:00,0
52,3,2023-04-01 03:20:00,54,60,-6,0 days 00:00:00,0
53,3,2023-04-01 03:20:00,54,60,-6,0 days 00:00:00,0
54,3,2023-04-01 03:20:00,55,60,-5,0 days 00:18:00,18
55,3,2023-04-01 03:02:00,55,62,-7,0 days 00:20:00,20
56,3,2023-04-01 02:42:00,55,62,-7,0 days 00:00:00,0
57,3,2023-04-01 02:42:00,55,62,-7,0 days 00:00:00,0
58,3,2023-04-01 02:42:00,55,62,-7,0 days 00:10:00,10
59,3,2023-04-01 02:32:00,58,62,-4,0 days 00:25:00,25
60,3,2023-04-01 02:07:00,58,62,-4,0 days 00:00:00,0
61,3,2023-04-01 02:07:00,58,63,-5,0 days 00:00:00,0
62,3,2023-04-01 02:07:00,58,64,-6,0 days 00:15:00,15
63,3,2023-04-01 01:52:00,58,64,-6,0 days 00:02:00,2
64,3,2023-04-01 01:50:00,58,64,-6,0 days 00:07:00,7
65,3,2023-04-01 01:43:00,58,66,-8,0 days 00:22:00,22
66,3,2023-04-01 01:21:00,58,66,-8,0 days 00:05:00,5
67,3,2023-04-01 01:16:00,58,68,-10,0 days 00:01:00,1
68,3,2023-04-01 01:15:00,58,68,-10,0 days 00:20:12,20
69,3,2023-04-01 00:54:48,58,68,-10,0 days 00:00:54,0
70,3,2023-04-01 00:53:54,58,68,-10,0 days 00:01:48,1
71,3,2023-04-01 00:52:06,60,68,-8,0 days 00:16:54,16
72,3,2023-04-01 00:35:12,60,71,-11,0 days 00:13:18,13
73,3,2023-04-01 00:21:54,62,71,-9,0 days 00:16:18,16
74,3,2023-04-01 00:05:36,62,71,-9,0 days 00:02:36,2
75,3,2023-04-01 00:03:00,62,71,-9,0 days 00:02:54,2
76,3,2023-04-01 00:00:06,62,71,-9,0 days 00:00:06,0
77,3,2023-04-01 00:00:00,62,71,-9,-1 days +12:00:00,2020-01-01 00:00:00
0,4,2023-04-01 12:00:00,62,71,-9,0 days 00:26:00,2020-01-01 00:00:00
1,4,2023-04-01 11:34:00,62,71,-9,0 days 00:01:00,1
2,4,2023-04-01 11:33:00,62,71,-9,0 days 00:15:00,15
3,4,2023-04-01 11:18:00,62,71,-9,0 days 00:02:00,2
4,4,2023-04-01 11:16:00,62,71,-9,0 days 00:05:00,5
5,4,2023-04-01 11:11:00,62,71,-9,0 days 00:02:00,2
6,4,2023-04-01 11:09:00,62,71,-9,0 days 00:08:00,8
7,4,2023-04-01 11:01:00,62,71,-9,0 days 00:00:00,0
8,4,2023-04-01 11:01:00,62,71,-9,0 days 00:18:00,18
9,4,2023-04-01 10:43:00,62,71,-9,0 days 00:02:00,2
10,4,2023-04-01 10:41:00,62,71,-9,0 days 00:12:00,12
11,4,2023-04-01 10:29:00,62,71,-9,0 days 00:00:00,0
12,4,2023-04-01 10:29:00,63,71,-8,0 days 00:00:00,0
13,4,2023-04-01 10:29:00,63,71,-8,0 days 00:00:00,0
14,4,2023-04-01 10:29:00,64,71,-7,0 days 00:10:00,10
15,4,2023-04-01 10:19:00,64,71,-7,0 days 00:07:00,7
16,4,2023-04-01 10:12:00,64,71,-7,0 days 00:00:00,0
17,4,2023-04-01 10:12:00,64,71,-7,0 days 00:00:00,0
18,4,2023-04-01 10:12:00,64,71,-7,0 days 00:08:00,8
19,4,2023-04-01 10:04:00,64,71,-7,0 days 00:02:00,2
20,4,2023-04-01 10:02:00,64,71,-7,0 days 00:16:00,16
21,4,2023-04-01 09:46:00,64,71,-7,0 days 00:00:00,0
22,4,2023-04-01 09:46:00,64,71,-7,0 days 00:00:00,0
23,4,2023-04-01 09:46:00,64,71,-7,0 days 00:13:00,13
24,4,2023-04-01 09:33:00,64,71,-7,0 days 00:02:00,2
25,4,2023-04-01 09:31:00,64,71,-7,0 days 00:00:00,0
26,4,2023-04-01 09:31:00,64,71,-7,0 days 00:11:00,11
27,4,2023-04-01 09:20:00,64,71,-7,0 days 00:00:00,0
28,4,2023-04-01 09:20:00,64,71,-7,0 days 00:11:00,11
29,4,2023-04-01 09:09:00,64,71,-7,0 days 00:01:00,1
30,4,2023-04-01 09:08:00,64,71,-7,0 days 00:00:00,0
31,4,2023-04-01 09:08:00,64,71,-7,0 days 00:12:00,12
32,4,2023-04-01 08:56:00,64,71,-7,0 days 00:04:00,4
33,4,2023-04-01 08:52:00,66,71,-5,0 days 00:24:00,24
34,4,2023-04-01 08:28:00,66,71,-5,0 days 00:00:00,0
35,4,2023-04-01 08:28:00,66,71,-5,0 days 00:00:00,0
36,4,2023-04-01 08:28:00,66,72,-6,0 days 00:00:00,0
37,4,2023-04-01 08:28:00,66,73,-7,0 days 00:14:00,14
38,4,2023-04-01 08:14:00,66,73,-7,0 days 00:12:00,12
39,4,2023-04-01 08:02:00,66,75,-9,0 days 00:19:00,19
