DATE,AWAY_TEAM,HOME_TEAM
Nov 23 2022,WAS,MIA
Nov 23 2022,BRK,TOR
Nov 23 2022,CHI,MIL
Nov 23 2022,DEN,OKC
Nov 23 2022,NOP,SAS
Nov 23 2022,DET,UTA
Nov 23 2022,LAC,GSW
Nov 25 2022,MIN,CHO
Nov 25 2022,PHI,ORL
Nov 25 2022,POR,NYK
Nov 25 2022,SAC,BOS
Nov 25 2022,ATL,HOU
Nov 25 2022,BRK,IND
Nov 25 2022,NOP,MEM
Nov 25 2022,WAS,MIA
Nov 25 2022,CLE,MIL
Nov 25 2022,CHI,OKC
Nov 25 2022,LAL,SAS
Nov 25 2022,DET,PHO
Nov 25 2022,UTA,GSW
Nov 25 2022,DEN,LAC
Nov 26 2022,DAL,TOR
Nov 26 2022,OKC,HOU
Nov 26 2022,LAL,SAS
Nov 26 2022,UTA,PHO
Nov 27 2022,POR,BRK
Nov 27 2022,GSW,MIN
Nov 27 2022,IND,LAC
Nov 27 2022,MIA,ATL
Nov 27 2022,WAS,BOS
Nov 27 2022,CLE,DET
Nov 27 2022,MEM,NYK
Nov 27 2022,PHI,ORL
Nov 27 2022,DAL,MIL
Nov 28 2022,ATL,PHI
Nov 28 2022,MIN,WAS
Nov 28 2022,CHO,BOS
Nov 28 2022,ORL,BRK
Nov 28 2022,CLE,TOR
Nov 28 2022,OKC,NOP
Nov 28 2022,HOU,DEN
Nov 28 2022,CHI,UTA
Nov 28 2022,PHO,SAC
Nov 28 2022,IND,LAL
Nov 29 2022,NYK,DET
Nov 29 2022,GSW,DAL
Nov 29 2022,LAC,POR
Nov 30 2022,PHI,CLE
Nov 30 2022,ATL,ORL
Nov 30 2022,MIA,BOS
Nov 30 2022,WAS,BRK
Nov 30 2022,MIL,NYK
Nov 30 2022,MEM,MIN
Nov 30 2022,TOR,NOP
Nov 30 2022,SAS,OKC
Nov 30 2022,HOU,DEN
Nov 30 2022,CHI,PHO
Nov 30 2022,LAC,UTA
Nov 30 2022,IND,SAC
Nov 30 2022,POR,LAL
Dec 1 2022,DAL,DET
Dec 2 2022,WAS,CHO
Dec 2 2022,DEN,ATL
Dec 2 2022,MIA,BOS
